Species,PreyCategory,PercentOccurrence,PercentNumber,PercentMass,PercentIRI
Onki,Actinopterygii,11.42857143,1.012137935,3.761361565,1.81E-01
Onki,Amphipoda: Americorophium sp.,89.52380952,37.96142338,18.91451662,4.85E+01
Onki,Amphipoda: Eogammarus sp.,80.95238095,18.20655369,27.39965159,2.33E+01
Onki,Amphipoda: Megalorchestia,3.80952381,0.020559256,0.334900162,1.00E-03
Onki,Amphipoda: undetermined,4.761904762,0.182745386,0.069918927,1.04E-02
Onki,Decapoda: Emerita sp.,12.38095238,0.542139497,2.495460814,9.51E-02
Onki,Decapoda: Megalopa,0.952380952,0.001679684,0.000172746,1.89E-05
Onki,Diptera,14.28571429,0.44771261,0.052128054,7.57E-02
Onki,Diptera: Chironomidae,38.0952381,8.52068612,4.656018649,4.30E+00
Onki,Hemiptera: Corixidae,14.28571429,0.554401942,0.984491234,9.98E-02
Onki,Isopoda: Cirolanidae,6.666666667,0.300552616,1.347751567,2.84E-02
Onki,Isopoda: Gnorimosphaeroma sp.,61.9047619,11.64045864,19.79688111,1.12E+01
Onki,Isopoda: undetermined,0.952380952,0.001521375,0.002925496,1.71E-05
Onki,Mysidae: Neomysis mercedis,44.76190476,8.796204776,8.573378644,5.53E+00
Onki,Other aquatics (non-insecta),13.33333333,1.51489952,0.320052571,2.44E-01
Onki,Other insects,11.42857143,1.114003577,0.309249021,1.54E-01
Onki,Other terrestrials (Arachnida),7.619047619,0.407314052,0.264403974,3.79E-02
Onki,Terrestrial insects,49.52380952,8.775005945,10.71673726,6.23E+00
Onmy,Actinopterygii,7.04845815,0.441637155,1.275427362,0.038915646
Onmy,Amphipoda: Americorophium sp.,81.93832599,22.44498977,11.82468773,22.2783751
Onmy,Amphipoda: Eogammarus sp.,84.14096916,26.61611495,30.62085288,32.33513217
Onmy,Amphipoda: Megalorchestia,14.0969163,2.997376833,4.80916776,0.599895319
Onmy,Amphipoda: undetermined,5.726872247,0.616162319,0.109711839,0.038070311
Onmy,Decapoda: Emerita sp.,8.810572687,0.162432772,1.445045211,0.017634698
Onmy,Diptera,8.810572687,0.152325462,0.111343881,0.014386767
Onmy,Diptera: Chironomidae,33.03964758,3.935206081,1.963618895,1.458171471
Onmy,Hemiptera: Corixidae,12.7753304,0.512470067,0.479863966,0.071909645
Onmy,Isopoda: Cirolanidae,7.488986784,0.317444485,0.748754807,0.027682703
Onmy,Isopoda: Gnorimosphaeroma sp.,87.2246696,29.65471551,33.75524083,37.97865346
Onmy,Mysidae: Neomysis mercedis,38.32599119,8.958046905,7.678437546,4.362601218
Onmy,Other aquatics (non-insecta),26.8722467,2.003884612,2.940431107,0.632420936
Onmy,Other insects,11.45374449,0.642324608,1.228648704,0.086235943
Onmy,Other terrestrials (Arachnida),1.762114537,0.100237746,0.168575998,0.002048691
Onmy,Terrestrial insects,11.45374449,0.444630726,0.840191485,0.057865933
