Species,PreyCategory,Month,Month2,PercentOccurrence,PercentNumber,PercentMass,PercentIRI,Group
Onki,Amphipoda: Americorophium sp.,Jun,6,88.23529412,29.17052436,13.65124004,24.35846572,1
Onki,Amphipoda: Americorophium sp.,Jul,7,89.47368421,26.69787415,9.72439346,21.69444049,1
Onki,Amphipoda: Americorophium sp.,Aug,8,75,33.11827957,8.312613172,23.0847174,1
Onki,Amphipoda: Americorophium sp.,Sep,9,85.71428571,40.48659467,38.15552123,41.32311803,1
Onki,Amphipoda: Americorophium sp.,Oct,10,85.71428571,25.33467331,17.66552034,24.33883359,1
Onki,Amphipoda: Americorophium sp.,Nov,11,100,61.87131051,18.09497512,47.76358903,1
Onki,Amphipoda: Americorophium sp.,Dec,12,100,89.79915871,41.01984246,71.04908164,1
Onki,Amphipoda: Eogammarus sp.,Jun,6,97.05882353,31.75747767,47.43131193,49.54978359,2
Onki,Amphipoda: Eogammarus sp.,Jul,7,94.73684211,28.65999153,38.20955429,42.17289651,2
Onki,Amphipoda: Eogammarus sp.,Aug,8,50,11.08870968,6.500342019,6.53358337,2
Onki,Amphipoda: Eogammarus sp.,Sep,9,57.14285714,5.545390206,7.042178836,4.40949141,2
Onki,Amphipoda: Eogammarus sp.,Oct,10,64.28571429,6.718130335,12.00729108,7.94917785,2
Onki,Amphipoda: Eogammarus sp.,Nov,11,84.61538462,4.596438524,11.08095242,7.92342863,2
Onki,Amphipoda: Eogammarus sp.,Dec,12,57.14285714,1.656604411,14.51013585,5.017322904,2
Onki,Isopoda: Gnorimosphaeroma sp.,Jun,6,35.29411765,4.086504457,8.080339477,2.768364687,3
Onki,Isopoda: Gnorimosphaeroma sp.,Jul,7,73.68421053,21.0917689,32.93467214,26.50128587,3
Onki,Isopoda: Gnorimosphaeroma sp.,Aug,8,75,40,57.39914414,54.26944893,3
Onki,Isopoda: Gnorimosphaeroma sp.,Sep,9,92.85714286,12.55586322,21.05268663,19.13153312,3
Onki,Isopoda: Gnorimosphaeroma sp.,Oct,10,64.28571429,7.002159889,12.0821048,8.10151135,3
Onki,Isopoda: Gnorimosphaeroma sp.,Nov,11,92.30769231,19.09799642,36.97153013,30.91397218,3
Onki,Isopoda: Gnorimosphaeroma sp.,Dec,12,28.57142857,0.068159895,0.581236472,0.100769581,3
Onki,Terrestrial insects,Jun,6,47.05882353,7.530659954,7.191329374,4.466327843,4
Onki,Terrestrial insects,Jul,7,26.31578947,9.513806605,9.739884122,3.373001601,4
Onki,Terrestrial insects,Sep,9,50,2.268683884,4.567167843,2.09530535,4
Onki,Terrestrial insects,Oct,10,85.71428571,30.92975394,37.64578108,38.81490741,4
Onki,Terrestrial insects,Nov,11,76.92307692,1.483048424,7.839420213,4.283291267,4
Onki,Terrestrial insects,Dec,12,28.57142857,0.073300186,0.400095315,0.073458782,4
Onki,Mysidae: Neomysis mercedis,Jun,6,70.58823529,17.82089716,21.23115098,17.77129905,5
Onki,Mysidae: Neomysis mercedis,Jul,7,57.89473684,9.666508515,4.094852061,5.303793554,5
Onki,Mysidae: Neomysis mercedis,Aug,8,50,6.653225806,2.147515587,3.2691005,5
Onki,Mysidae: Neomysis mercedis,Sep,9,21.42857143,3.894557823,3.394638782,0.95754141,5
Onki,Mysidae: Neomysis mercedis,Oct,10,21.42857143,0.846560847,0.449922204,0.18345781,5
Onki,Mysidae: Neomysis mercedis,Nov,11,23.07692308,3.129695238,2.898188905,0.830869521,5
Onki,Mysidae: Neomysis mercedis,Dec,12,14.28571429,0.050390527,0.064723327,0.008931352,5
Onki,Diptera: Chironomidae,Jun,6,8.823529412,0.900904284,0.223103413,0.063937354,6
Onki,Diptera: Chironomidae,Jul,7,15.78947368,0.786780185,0.172747488,0.100858223,6
Onki,Diptera: Chironomidae,Aug,8,25,0.403225806,0.007058903,0.07620165,6
Onki,Diptera: Chironomidae,Sep,9,92.85714286,32.78605732,22.54459392,31.49675281,6
Onki,Diptera: Chironomidae,Oct,10,78.57142857,25.92508079,10.83261527,19.07168528,6
Onki,Diptera: Chironomidae,Nov,11,69.23076923,1.963356664,0.823467359,1.152388012,6
Onki,Other aquatics (non-insecta),Jun,6,8.823529412,3.291316527,0.534253739,0.217611356,10
Onki,Other aquatics (non-insecta),Jul,7,5.263157895,0.190234623,0.062643242,0.008860197,10
Onki,Other aquatics (non-insecta),Sep,9,14.28571429,0.397877984,0.154800588,0.04840155,10
Onki,Other aquatics (non-insecta),Oct,10,14.28571429,0.984848485,0.741973405,0.16290171,10
Onki,Other aquatics (non-insecta),Nov,11,30.76923077,1.839242891,0.106874643,0.357664415,10
Onki,Other aquatics (non-insecta),Dec,12,28.57142857,0.03955739,0.043780714,0.012931926,10
Onki,Actinopterygii,Jul,7,15.78947368,2.834066875,4.773584122,0.799658186,10
Onki,Actinopterygii,Aug,8,50,8.73655914,25.63332618,12.76694816,10
Onki,Actinopterygii,Sep,9,7.142857143,0.123152709,1.093654447,0.05328174,10
Onki,Actinopterygii,Oct,10,21.42857143,0.823359647,7.531647693,1.18226871,10
Onki,Actinopterygii,Nov,11,23.07692308,0.325369459,6.227487022,0.903230486,10
Onki,Other insects,Jun,6,20.58823529,2.780983385,0.529483558,0.439391259,10
Onki,Other insects,Jul,7,10.52631579,0.183028766,0.260535009,0.031082691,10
Onki,Other insects,Sep,9,7.142857143,0.324675325,0.04702491,0.01627607,10
Onki,Other insects,Oct,10,14.28571429,1.028138528,0.632870881,0.15669322,10
Onki,Hemiptera: Corixidae,Jun,6,5.882352941,0.45751634,0.289135376,0.028314714,10
Onki,Hemiptera: Corixidae,Sep,9,21.42857143,1.617146859,1.947732825,0.46829851,10
Onki,Hemiptera: Corixidae,Oct,10,7.142857143,0.064935065,0.292284279,0.01684935,10
Onki,Hemiptera: Corixidae,Nov,11,46.15384615,1.390098576,4.445601242,1.608758562,10
Onki,Hemiptera: Corixidae,Dec,12,42.85714286,0.148031426,0.626845887,0.180361484,10
Onki,Decapoda: Emerita sp.,Nov,11,46.15384615,3.987491415,11.33706263,4.224601726,10
Onki,Decapoda: Emerita sp.,Dec,12,100,0.726751259,16.37736733,9.289414438,10
Onki,Diptera,Jun,6,17.64705882,0.939139355,0.051356578,0.112685507,10
Onki,Diptera,Jul,7,5.263157895,0.37593985,0.027134068,0.014122684,10
Onki,Diptera,Oct,10,7.142857143,0.210084034,0.026217199,0.01114587,10
Onki,Diptera,Nov,11,15.38461538,0.216051783,0.125103045,0.031349325,10
Onki,Diptera,Dec,12,71.42857143,0.312339877,0.174056343,0.188690396,10
Onki,Other terrestrials (Arachnida),Jun,6,17.64705882,1.198717036,0.751827483,0.221907119,10
Onki,Other terrestrials (Arachnida),Oct,10,7.142857143,0.132275132,0.091771766,0.01056786,10
Onki,Other terrestrials (Arachnida),Dec,12,14.28571429,0.02282063,0.130782595,0.011917631,10
Onki,Isopoda: Cirolanidae,Nov,11,7.692307692,0.0999001,0.049337267,0.006856844,10
Onki,Isopoda: Cirolanidae,Dec,12,85.71428571,4.322760484,20.12464716,11.38082288,10
Onki,Amphipoda: undetermined,Jun,6,2.941176471,0.065359477,0.035468058,0.001911804,10
Onki,Amphipoda: undetermined,Dec,12,57.14285714,2.423720466,0.876510481,1.024221584,10
Onki,Amphipoda: Megalorchestia,Dec,12,57.14285714,0.308388846,5.023502437,1.654744235,10
Onki,Decapoda: Megalopa,Dec,12,14.28571429,0.025195263,0.002591185,0.00215587,10
Onki,Isopoda: undetermined,Dec,12,14.28571429,0.02282063,0.043882444,0.005175299,10
