Species,PreyCategory,Month,Month2,PercentOccurrence,PercentNumber,PercentMass,PercentIRI,Group
Onmy,Isopoda: Gnorimosphaeroma sp.,Jun,6,72.34042553,16.82315598,18.55699082,1.46E+01,1
Onmy,Isopoda: Gnorimosphaeroma sp.,Jul,7,96.66666667,51.2250258,55.50843296,62.1655312,1
Onmy,Isopoda: Gnorimosphaeroma sp.,Aug,8,96.42857143,54.73789204,62.32791626,62.72549526,1
Onmy,Isopoda: Gnorimosphaeroma sp.,Sep,9,89.28571429,29.50217803,31.55212815,35.6071198,1
Onmy,Isopoda: Gnorimosphaeroma sp.,Oct,10,85.18518519,24.8775971,27.137381,33.71366733,1
Onmy,Isopoda: Gnorimosphaeroma sp.,Nov,11,100,41.65372792,44.23431084,46.73109698,1
Onmy,Isopoda: Gnorimosphaeroma sp.,Dec,12,82.05128205,5.319483301,13.46402247,9.777768544,1
Onmy,Amphipoda: Eogammarus sp.,Jun,6,100,60.71681559,64.05133587,7.10E+01,2
Onmy,Amphipoda: Eogammarus sp.,Jul,7,86.66666667,20.41419655,25.34779494,23.89622682,2
Onmy,Amphipoda: Eogammarus sp.,Aug,8,85.71428571,19.73484688,20.4508255,19.13959517,2
Onmy,Amphipoda: Eogammarus sp.,Sep,9,71.42857143,14.02120697,19.06725142,15.4378589,2
Onmy,Amphipoda: Eogammarus sp.,Oct,10,74.07407407,21.67288051,24.91468989,26.25728384,2
Onmy,Amphipoda: Eogammarus sp.,Nov,11,96.42857143,30.22587205,40.77159015,37.24962013,2
Onmy,Amphipoda: Eogammarus sp.,Dec,12,69.23076923,5.104619639,6.648196529,5.162009851,2
Onmy,Amphipoda: Americorophium sp.,Jun,6,65.95744681,5.667567313,2.71888429,3.15E+00,3
Onmy,Amphipoda: Americorophium sp.,Jul,7,86.66666667,9.628132515,2.913556037,6.54908199,3
Onmy,Amphipoda: Americorophium sp.,Aug,8,92.85714286,21.51212686,11.92663761,17.25336607,3
Onmy,Amphipoda: Americorophium sp.,Sep,9,67.85714286,16.46812955,11.15608809,12.2440227,3
Onmy,Amphipoda: Americorophium sp.,Oct,10,77.77777778,20.49334776,15.93491643,21.55795264,3
Onmy,Amphipoda: Americorophium sp.,Nov,11,96.42857143,17.86751064,5.59458559,12.30965368,3
Onmy,Amphipoda: Americorophium sp.,Dec,12,92.30769231,62.12141466,31.68724134,54.93618998,3
Onmy,Mysidae: Neomysis mercedis,Jun,6,65.95744681,15.7243069,14.05189435,1.12E+01,4
Onmy,Mysidae: Neomysis mercedis,Jul,7,43.33333333,14.39403551,10.9602528,6.619814877,4
Onmy,Mysidae: Neomysis mercedis,Aug,8,17.85714286,0.9505956,0.526233171,0.146538053,4
Onmy,Mysidae: Neomysis mercedis,Sep,9,67.85714286,19.43976694,18.06521927,16.623526,4
Onmy,Mysidae: Neomysis mercedis,Oct,10,18.51851852,8.421683073,6.395187003,2.08773907,4
Onmy,Mysidae: Neomysis mercedis,Nov,11,28.57142857,2.104808643,1.019305647,0.485659803,4
Onmy,Mysidae: Neomysis mercedis,Dec,12,15.38461538,0.137510816,0.820190486,0.09347478,4
Onmy,Diptera: Chironomidae,Jul,7,13.33333333,0.429604903,0.045046725,0.038131688,5
Onmy,Diptera: Chironomidae,Aug,8,17.85714286,0.774559638,0.099947001,0.086772754,5
Onmy,Diptera: Chironomidae,Sep,9,92.85714286,14.96826473,9.250413132,14.6894087,5
Onmy,Diptera: Chironomidae,Oct,10,66.66666667,13.53745114,6.105864418,9.96407619,5
Onmy,Diptera: Chironomidae,Nov,11,42.85714286,1.80002125,0.450684098,0.524825765,5
Onmy,Diptera: Chironomidae,Dec,12,25.64102564,0.607507062,0.13083358,0.120107436,5
Onmy,Other aquatics (non-insecta),Jun,6,14.89361702,0.600921322,0.067441584,5.67E-02,10
Onmy,Other aquatics (non-insecta),Jul,7,20,2.518977926,2.626847297,0.620093744,10
Onmy,Other aquatics (non-insecta),Aug,8,14.28571429,0.526766149,0.488705737,0.080608003,10
Onmy,Other aquatics (non-insecta),Sep,9,60.71428571,3.599631905,7.478272826,4.3932618,10
Onmy,Other aquatics (non-insecta),Oct,10,37.03703704,5.196642635,11.99978902,4.8460521,10
Onmy,Other aquatics (non-insecta),Nov,11,17.85714286,1.452050604,0.586929877,0.19810632,10
Onmy,Other aquatics (non-insecta),Dec,12,30.76923077,1.399057779,0.564075587,0.383216475,10
Onmy,Amphipoda: Megalorchestia,Dec,12,82.05128205,17.44627028,27.9918226,23.65283461,10
Onmy,Other insects,Jun,6,2.127659574,0.085106383,0.103342345,2.28E-03,10
Onmy,Other insects,Jul,7,3.333333333,0.526315789,0.535376209,0.021323064,10
Onmy,Other insects,Sep,9,35.71428571,1.070821832,2.48696076,0.8299653,10
Onmy,Other insects,Oct,10,22.22222222,3.098937626,3.267890784,1.07652504,10
Onmy,Other insects,Nov,11,25,0.435462318,1.627543842,0.280616901,10
Onmy,Other insects,Dec,12,2.564102564,0.004383081,1.398607676,0.022822748,10
Onmy,Hemiptera: Corixidae,Jul,7,3.333333333,0.095238095,0.074045711,0.003399903,10
Onmy,Hemiptera: Corixidae,Aug,8,7.142857143,0.153443965,0.076517265,0.009127144,10
Onmy,Hemiptera: Corixidae,Oct,10,14.81481481,0.65681445,0.624938492,0.1444821,10
Onmy,Hemiptera: Corixidae,Nov,11,60.71428571,2.994644666,2.886098715,1.942658258,10
Onmy,Hemiptera: Corixidae,Dec,12,12.82051282,0.19469463,0.176440058,0.030186633,10
Onmy,Terrestrial insects,Jun,6,6.382978723,0.220938163,0.04757632,9.76E-03,10
Onmy,Terrestrial insects,Jul,7,3.333333333,0.317460317,0.795925187,0.022361278,10
Onmy,Terrestrial insects,Sep,9,14.28571429,0.930000038,0.943666352,0.1748368,10
Onmy,Terrestrial insects,Oct,10,14.81481481,0.83573116,0.410740296,0.14050509,10
Onmy,Terrestrial insects,Nov,11,14.28571429,0.168797413,0.26160968,0.03345451,10
Onmy,Terrestrial insects,Dec,12,25.64102564,0.710056452,3.071074553,0.61508459,10
Onmy,Actinopterygii,Jun,6,2.127659574,0.019519813,0.38248886,4.87E-03,10
Onmy,Actinopterygii,Jul,7,6.666666667,0.355774494,1.188865288,0.062045213,10
Onmy,Actinopterygii,Aug,8,17.85714286,1.518193776,4.089319542,0.556404437,10
Onmy,Actinopterygii,Oct,10,7.407407407,0.962000962,2.133339533,0.17445691,10
Onmy,Actinopterygii,Nov,11,14.28571429,0.647414884,1.535631639,0.169682964,10
Onmy,Actinopterygii,Dec,12,5.128205128,0.052561533,0.532827581,0.019045297,10
Onmy,Amphipoda: undetermined,Jun,6,2.127659574,0.064474533,0.008757917,8.87E-04,10
Onmy,Amphipoda: undetermined,Nov,11,3.571428571,0.058548009,0.033452052,0.001787736,10
Onmy,Amphipoda: undetermined,Dec,12,28.20512821,3.466646131,0.604007896,0.728400104,10
Onmy,Isopoda: Cirolanidae,Dec,12,43.58974359,1.847689694,4.358136951,1.716175441,10
Onmy,Decapoda: Emerita sp.,Nov,11,10.71428571,0.144713024,0.934746607,0.062927854,10
Onmy,Decapoda: Emerita sp.,Dec,12,43.58974359,0.841545501,7.73980405,2.373108724,10
Onmy,Diptera,Jun,6,2.127659574,0.043421624,0.006578936,6.06E-04,10
Onmy,Diptera,Jul,7,3.333333333,0.095238095,0.003856845,0.001990227,10
Onmy,Diptera,Aug,8,3.571428571,0.091575092,0.013897914,0.002093108,10
Onmy,Diptera,Dec,12,43.58974359,0.695277389,0.627205232,0.365722784,10
Onmy,Other terrestrials (Arachnida),Jun,6,2.127659574,0.033772374,0.004708705,4.66E-04,10
Onmy,Other terrestrials (Arachnida),Oct,10,3.703703704,0.24691358,1.07526312,0.03725969,10
Onmy,Other terrestrials (Arachnida),Nov,11,3.571428571,0.446428571,0.063511266,0.0099091,10
Onmy,Other terrestrials (Arachnida),Dec,12,2.564102564,0.051282051,0.185513406,0.003852002,10
