"Species","PreyCategory","PercentOccurrence","PercentNumber","PercentMass"
"Onki","Actinopterygii",11.4285714285714,1.01213793459995,3.76136156450645
"Onki","Amphipoda: Americorophium sp.",89.5238095238095,37.9614233778037,18.914516622259
"Onki","Amphipoda: Eogammarus sp.",80.9523809523809,18.2065536928546,27.3996515860827
"Onki","Amphipoda: Megalorchestia",3.80952380952381,0.0205592564175083,0.334900162455538
"Onki","Amphipoda: undetermined",4.76190476190476,0.182745385565002,0.0699189269752712
"Onki","Decapoda: Emerita sp.",12.3809523809524,0.54213949721355,2.49546081404441
"Onki","Decapoda: Megalopa",0.952380952380952,0.00167968421936676,0.000172745666732718
"Onki","Diptera",14.2857142857143,0.447712609669809,0.052128054346777
"Onki","Diptera: Chironomidae",38.0952380952381,8.52068612005964,4.65601864935779
"Onki","Hemiptera: Corixidae",14.2857142857143,0.554401942417299,0.984491234192387
"Onki","Isopoda: Cirolanidae",6.66666666666667,0.300552616038608,1.34775156731501
"Onki","Isopoda: Gnorimosphaeroma sp.",61.9047619047619,11.6404586371515,19.7968811087584
"Onki","Isopoda: undetermined",0.952380952380952,0.00152137532329226,0.00292549628964114
"Onki","Mysidae: Neomysis mercedis",44.7619047619048,8.79620477584155,8.57337864422272
"Onki","Other aquatics (non-insecta)",13.3333333333333,1.51489952021354,0.320052571238195
"Onki","Other insects",11.4285714285714,1.11400357694999,0.309249021128841
"Onki","Other terrestrials (Arachnida)",7.61904761904762,0.407314052316387,0.264403974201915
"Onki","Terrestrial insects",49.5238095238095,8.77500594534467,10.7167372569582
"Onmy","Actinopterygii",7.04845814977974,0.441637155282123,1.27542736213203
"Onmy","Amphipoda: Americorophium sp.",81.9383259911894,22.4449897710687,11.8246877299165
"Onmy","Amphipoda: Eogammarus sp.",84.1409691629956,26.6161149534568,30.6208528816882
"Onmy","Amphipoda: Megalorchestia",14.0969162995595,2.99737683286322,4.80916776014808
"Onmy","Amphipoda: undetermined",5.72687224669604,0.616162319027042,0.109711839134686
"Onmy","Decapoda: Emerita sp.",8.81057268722467,0.162432771743397,1.44504521128956
"Onmy","Diptera",8.81057268722467,0.15232546213122,0.111343881005331
"Onmy","Diptera: Chironomidae",33.0396475770925,3.93520608121607,1.96361889497314
"Onmy","Hemiptera: Corixidae",12.7753303964758,0.512470067227279,0.479863965967258
"Onmy","Isopoda: Cirolanidae",7.48898678414097,0.317444484864247,0.748754806522344
"Onmy","Isopoda: Gnorimosphaeroma sp.",87.2246696035242,29.6547155056475,33.7552408268341
"Onmy","Mysidae: Neomysis mercedis",38.3259911894273,8.95804690452199,7.67843754598503
"Onmy","Other aquatics (non-insecta)",26.8722466960352,2.00388461176641,2.9404311065916
"Onmy","Other insects",11.4537444933921,0.642324607820914,1.22864870433759
"Onmy","Other terrestrials (Arachnida)",1.76211453744493,0.100237745612195,0.168575998423395
"Onmy","Terrestrial insects",11.4537444933921,0.444630725750929,0.840191485051241
