"Group_ID","Prey","PercentNumber","PercentOccurrence","PercentVolWeight","%IRI"
"Onki_Aug","Actinopterygii",8.73655914,50,25.63332618,12.7669481592769
"Onki_Aug","Amphipoda: Americorophium sp.",33.11827957,75,8.312613172,23.0847174018011
"Onki_Aug","Amphipoda: Eogammarus sp.",11.08870968,50,6.500342019,6.5335833716414
"Onki_Aug","Diptera: Chironomidae",0.403225806,25,0.007058903,0.0762016451550238
"Onki_Aug","Isopoda: Gnorimosphaeroma sp.",40,75,57.39914414,54.2694489266913
"Onki_Aug","Mysidae: Neomysis mercedis",6.653225806,50,2.147515587,3.26910049543433
"Onmy_Aug","Actinopterygii",1.518193776,17.85714286,4.089319542,0.556404437343494
"Onmy_Aug","Amphipoda: Americorophium sp.",21.51212686,92.85714286,11.92663761,17.2533660713698
"Onmy_Aug","Amphipoda: Eogammarus sp.",19.73484688,85.71428571,20.4508255,19.139595174263
"Onmy_Aug","Diptera",0.091575092,3.571428571,0.013897914,0.00209310777215795
"Onmy_Aug","Diptera: Chironomidae",0.774559638,17.85714286,0.099947001,0.0867727541304335
"Onmy_Aug","Hemiptera: Corixidae",0.153443965,7.142857143,0.076517265,0.00912714363854175
"Onmy_Aug","Isopoda: Gnorimosphaeroma sp.",54.73789204,96.42857143,62.32791626,62.7254952558415
"Onmy_Aug","Mysidae: Neomysis mercedis",0.9505956,17.85714286,0.526233171,0.146538052570157
"Onmy_Aug","Other aquatics (non-insecta)",0.526766149,14.28571429,0.488705737,0.0806080030709354
"Onki_Dec","Amphipoda: Americorophium sp.",89.79915871,100,41.01984246,71.0490816437662
"Onki_Dec","Amphipoda: Eogammarus sp.",1.656604411,57.14285714,14.51013585,5.01732290257947
"Onki_Dec","Amphipoda: Megalorchestia",0.308388846,57.14285714,5.023502437,1.65474423516253
"Onki_Dec","Amphipoda: undetermined",2.423720466,57.14285714,0.876510481,1.02422158374928
"Onki_Dec","Decapoda: Emerita sp.",0.726751259,100,16.37736733,9.28941443678598
"Onki_Dec","Decapoda: Megalopa",0.025195263,14.28571429,0.002591185,0.00215587031970885
"Onki_Dec","Diptera",0.312339877,71.42857143,0.174056343,0.188690395768284
"Onki_Dec","Hemiptera: Corixidae",0.148031426,42.85714286,0.626845887,0.180361484143924
"Onki_Dec","Isopoda: Cirolanidae",4.322760484,85.71428571,20.12464716,11.3808228777732
"Onki_Dec","Isopoda: Gnorimosphaeroma sp.",0.068159895,28.57142857,0.581236472,0.100769580397757
"Onki_Dec","Isopoda: undetermined",0.02282063,14.28571429,0.043882444,0.00517529903318133
"Onki_Dec","Mysidae: Neomysis mercedis",0.050390527,14.28571429,0.064723327,0.00893135175917045
"Onki_Dec","Other aquatics (non-insecta)",0.03955739,28.57142857,0.043780714,0.0129319260131073
"Onki_Dec","Other terrestrials (Arachnida)",0.02282063,14.28571429,0.130782595,0.0119176309900805
"Onki_Dec","Terrestrial insects",0.073300186,28.57142857,0.400095315,0.0734587817581002
"Onmy_Dec","Actinopterygii",0.052561533,5.128205128,0.532827581,0.0190452974239592
"Onmy_Dec","Amphipoda: Americorophium sp.",62.12141466,92.30769231,31.68724134,54.9361899859384
"Onmy_Dec","Amphipoda: Eogammarus sp.",5.104619639,69.23076923,6.648196529,5.16200985108246
"Onmy_Dec","Amphipoda: Megalorchestia",17.44627028,82.05128205,27.9918226,23.6528346045923
"Onmy_Dec","Amphipoda: undetermined",3.466646131,28.20512821,0.604007896,0.728400104292159
"Onmy_Dec","Decapoda: Emerita sp.",0.841545501,43.58974359,7.73980405,2.37310872387464
"Onmy_Dec","Diptera",0.695277389,43.58974359,0.627205232,0.365722783626962
"Onmy_Dec","Diptera: Chironomidae",0.607507062,25.64102564,0.13083358,0.12010743615474
"Onmy_Dec","Hemiptera: Corixidae",0.19469463,12.82051282,0.176440058,0.0301866329090479
"Onmy_Dec","Isopoda: Cirolanidae",1.847689694,43.58974359,4.358136951,1.71617544100473
"Onmy_Dec","Isopoda: Gnorimosphaeroma sp.",5.319483301,82.05128205,13.46402247,9.77776854475827
"Onmy_Dec","Mysidae: Neomysis mercedis",0.137510816,15.38461538,0.820190486,0.0934747795899089
"Onmy_Dec","Other aquatics (non-insecta)",1.399057779,30.76923077,0.564075587,0.383216475468641
"Onmy_Dec","Other insects",0.004383081,2.564102564,1.398607676,0.0228227478194365
"Onmy_Dec","Other terrestrials (Arachnida)",0.051282051,2.564102564,0.185513406,0.00385200185598886
"Onmy_Dec","Terrestrial insects",0.710056452,25.64102564,3.071074553,0.615084589608365
"Onki_Jul","Actinopterygii",2.834066875,15.78947368,4.773584122,0.799658185533506
"Onki_Jul","Amphipoda: Americorophium sp.",26.69787415,89.47368421,9.72439346,21.6944404886981
"Onki_Jul","Amphipoda: Eogammarus sp.",28.65999153,94.73684211,38.20955429,42.1728965084416
"Onki_Jul","Diptera",0.37593985,5.263157895,0.027134068,0.0141226842176354
"Onki_Jul","Diptera: Chironomidae",0.786780185,15.78947368,0.172747488,0.100858222631788
"Onki_Jul","Isopoda: Gnorimosphaeroma sp.",21.0917689,73.68421053,32.93467214,26.5012858682377
"Onki_Jul","Mysidae: Neomysis mercedis",9.666508515,57.89473684,4.094852061,5.30379355340447
"Onki_Jul","Other aquatics (non-insecta)",0.190234623,5.263157895,0.062643242,0.0088601967865974
"Onki_Jul","Other insects",0.183028766,10.52631579,0.260535009,0.0310826915112243
"Onki_Jul","Terrestrial insects",9.513806605,26.31578947,9.739884122,3.37300160053734
"Onmy_Jul","Actinopterygii",0.355774494,6.666666667,1.188865288,0.0620452129375186
