SortNum,Month,PISCES_ID,SampleID,Group,Class,MixSiar,MixSiarMonth,Species,Length_mm,Mass_g,PITnum,d13C_raw,d13C_corr,%C,d15N,%N,C/N,C/N>3.5,d13C_shift
1,Jun,189526,108063,Consumer,Fish,NA,NA,Onki,143,30.9,9.00E+14,-22.87115,-22.05637,35.64238,12.11642,10.06423,3.54149,TRUE,0.81478
2,Jun,189527,108064,Consumer,Fish,NA,NA,Onki,138,28,9.00E+14,-21.16246,-21.16246,30.2784,11.70117,8.87563,3.41141,FALSE,0
3,Jun,189528,108065,Consumer,Fish,NA,NA,Onki,142,28.8,9.00E+14,-20.68436,-20.68436,29.79803,13.28734,8.96714,3.32302,FALSE,0
4,Jun,189529,108067,Consumer,Fish,NA,NA,Onki,156,34.6,9.00E+14,-19.77436,-19.77436,27.57083,11.75463,8.28463,3.32795,FALSE,0
5,Jun,189530,108069,Consumer,Fish,NA,NA,Onki,137,23.5,9.00E+14,-19.95575,-19.95575,29.24316,12.61573,9.07457,3.22254,FALSE,0
6,Jun,189531,108071,Consumer,Fish,NA,NA,Onki,154,35.1,9.00E+14,-20.81512,-20.81512,32.41365,12.41945,9.6461,3.36029,FALSE,0
7,Jun,189532,108072,Consumer,Fish,NA,NA,Onki,154,36.5,9.00E+14,-19.98101,-19.98101,31.64524,12.53706,9.35758,3.38177,FALSE,0
8,Jun,189533,108074,Consumer,Fish,NA,NA,Onki,144,27.7,9.00E+14,-20.3757,-20.3757,26.51435,11.38775,7.96285,3.32976,FALSE,0
9,Jun,189534,108076,Consumer,Fish,NA,NA,Onki,139,26.3,9.00E+14,-20.66916,-20.66916,28.97454,11.81706,8.69731,3.33144,FALSE,0
10,Jun,189535,108077,Consumer,Fish,NA,NA,Onki,153,34.7,9.00E+14,-19.83962,-19.83962,30.29182,12.36367,9.17151,3.30282,FALSE,0
11,Jun,189536,108079,Consumer,Fish,NA,NA,Onki,156,35.1,9.00E+14,-19.24515,-19.24515,28.36052,12.44937,8.69127,3.2631,FALSE,0
12,Jun,189537,108080,Consumer,Fish,NA,NA,Onki,149,31.7,9.00E+14,-20.75969,-20.75969,32.06729,12.00641,9.45402,3.39192,FALSE,0
13,Jun,189538,108081,Consumer,Fish,NA,NA,Onki,151,33.5,9.00E+14,-20.87406,-20.87406,31.89228,12.47404,9.60469,3.32049,FALSE,0
14,Jun,189539,108085,Consumer,Fish,NA,NA,Onki,142,25.2,9.00E+14,-20.1112,-20.1112,35.72085,12.92458,10.43859,3.422,FALSE,0
15,Jun,189540,108087,Consumer,Fish,NA,NA,Onki,144,28.4,9.00E+14,-19.44942,-19.44942,25.07109,11.98781,7.72682,3.24469,FALSE,0
16,Jun,189541,108090,Consumer,Fish,NA,NA,Onki,139,25.3,9.00E+14,-21.08858,-21.08858,32.34007,12.20592,9.60148,3.36824,FALSE,0
17,Jun,189542,108092,Consumer,Fish,NA,NA,Onki,143,29.6,9.00E+14,-19.43714,-19.43714,29.15733,12.17791,9.0829,3.21014,FALSE,0
18,Jun,189543,108093,Consumer,Fish,NA,NA,Onki,141,30.1,9.00E+14,-20.21099,-20.21099,28.2004,11.80513,8.51175,3.31311,FALSE,0
19,Jun,189544,108095,Consumer,Fish,NA,NA,Onki,136,28.7,9.00E+14,-22.41304,-22.41304,31.01633,11.16953,9.12992,3.39722,FALSE,0
20,Jun,189545,108096,Consumer,Fish,NA,NA,Onki,153,31.9,9.00E+14,-19.04051,-19.04051,30.24782,11.53476,9.71224,3.1144,FALSE,0
21,Jun,189546,108106,Consumer,Fish,NA,NA,Onki,152,34.8,9.00E+14,-19.85253,-19.85253,35.2647,12.65049,10.42249,3.38352,FALSE,0
22,Jun,189548,108113,Consumer,Fish,NA,NA,Onki,156,39.3,9.00E+14,-20.88794,-20.88794,33.79569,12.19528,10.10631,3.34402,FALSE,0
23,Jun,189549,108115,Consumer,Fish,NA,NA,Onki,145,31.1,9.00E+14,-21.52555,-21.52555,34.75007,11.18053,10.10542,3.43876,FALSE,0
24,Jun,212245,108117,Consumer,Fish,NA,NA,Onki,137,27.4,9.00E+14,-23.98185,-23.98185,27.86868,11.14947,8.56021,3.25561,FALSE,0
25,Jun,189525,108118,Consumer,Fish,NA,NA,Onki,148,30,9.00E+14,-19.60508,-19.60508,28.67882,11.96878,8.97698,3.19471,FALSE,0
26,Jun,189550,108119,Consumer,Fish,NA,NA,Onki,150,30.7,9.00E+14,-20.61185,-20.61185,29.30782,11.45108,8.78417,3.33644,FALSE,0
27,Jun,212246,108123,Consumer,Fish,NA,NA,Onki,140,26.7,9.00E+14,-23.5225,-23.5225,31.96812,11.63036,9.71861,3.28937,FALSE,0
28,Jun,189553,108127,Consumer,Fish,NA,NA,Onki,132,23.3,9.00E+14,-19.64222,-19.64222,26.82589,11.54458,8.31621,3.22574,FALSE,0
29,Jun,189554,108128,Consumer,Fish,NA,NA,Onki,144,30.1,9.00E+14,-20.31894,-20.31894,27.65628,12.05167,8.51115,3.24942,FALSE,0
30,Jun,189555,108129,Consumer,Fish,NA,NA,Onki,144,30,9.00E+14,-19.00976,-19.00976,25.96505,12.17354,8.12109,3.19723,FALSE,0
31,Jun,189556,108130,Consumer,Fish,NA,NA,Onki,137,25.3,9.00E+14,-19.693,-19.693,30.18882,12.06358,8.97722,3.36282,FALSE,0
32,Jun,189557,108131,Consumer,Fish,NA,NA,Onki,137,25.3,9.00E+14,-19.36198,-19.36198,28.58587,12.43097,8.73387,3.27299,FALSE,0
33,Jun,189558,108132,Consumer,Fish,NA,NA,Onki,140,28.3,9.00E+14,-20.12521,-20.12521,29.40386,12.1126,8.66244,3.39441,FALSE,0
34,Jun,189559,108133,Consumer,Fish,NA,NA,Onki,154,33.3,9.00E+14,-21.02601,-21.02601,34.0533,11.76242,9.97874,3.41259,FALSE,0
35,Jun,189560,108134,Consumer,Fish,NA,NA,Onki,155,38.5,9.00E+14,-20.85943,-20.85943,34.12832,12.66339,9.86548,3.45937,FALSE,0
36,Jun,212248,108145,Consumer,Fish,NA,NA,Onki,118,15.6,9.00E+14,-23.18931,-23.18931,26.00726,10.54137,7.70309,3.37621,FALSE,0
37,Jun,223977,108062,Consumer,Fish,NA,NA,Onmy,172,49.9,9.00E+14,-21.87648,-21.87648,35.97259,12.09033,10.31536,3.48729,FALSE,0
