"Species","Prey","Code","PercentIRI"
"Onki","Amphipoda: Americorophium sp.","AME",48.5379405294527
"Onki","Amphipoda: Eogammarus sp.","GAM",23.2605971968348
"Onki","Isopoda: Gnorimosphaeroma sp.","GNO",11.2139065893579
"Onki","Terrestrial insects","TER",6.23293182209962
"Onki","Mysidae: Neomysis mercedis","NEO",5.53179388957353
"Onki","Diptera: Chironomidae","CHI",4.29516157098192
"Onki","Other aquatics (non-insecta)","OAN",0.243882279413561
"Onki","Actinopterygii","FSH",0.18128071789704
"Onki","Other insects","OIA",0.154180730566519
"Onki","Hemiptera: Corixidae","COR",0.0998218644734738
"Onki","Decapoda: Emerita sp.","EME",0.0950966751568122
"Onki","Diptera","DIP",0.0756901173880662
"Onki","Other terrestrials (Arachnida)","SPD",0.0378618517532331
"Onki","Isopoda: Cirolanidae","CIR",0.0284019767012011
"Onki","Amphipoda: undetermined","AMP",0.0104115059148594
"Onki","Amphipoda: Megalorchestia","ORC",0.00100467971135161
"Onki","Decapoda: Megalopa","MEG",1.88657103088095e-05
"Onki","Isopoda: undetermined","ISO",1.71370131134395e-05
"Onmy","Isopoda: Gnorimosphaeroma sp.","GNO",37.9786534559077
"Onmy","Amphipoda: Eogammarus sp.","GAM",32.3351321662339
"Onmy","Amphipoda: Americorophium sp.","AME",22.2783750969205
"Onmy","Mysidae: Neomysis mercedis","NEO",4.36260121833657
"Onmy","Diptera: Chironomidae","CHI",1.45817147058587
"Onmy","Other aquatics (non-insecta)","OAN",0.632420936297605
"Onmy","Amphipoda: Megalorchestia","ORC",0.599895318559948
"Onmy","Other insects","OIA",0.0862359428687498
"Onmy","Hemiptera: Corixidae","COR",0.0719096452246222
"Onmy","Terrestrial insects","TER",0.0578659330319829
"Onmy","Actinopterygii","FSH",0.0389156459935821
"Onmy","Amphipoda: undetermined","AMP",0.0380703109905513
"Onmy","Isopoda: Cirolanidae","CIR",0.0276827029639626
"Onmy","Decapoda: Emerita sp.","EME",0.0176346980890739
"Onmy","Diptera","DIP",0.0143867668028014
"Onmy","Other terrestrials (Arachnida)","SPD",0.00204869119255293
